latitude	longitude	timestamp	realtime
0.0	0.0	79545	12:47:05
0.0	0.0	234055	12:49:40
0.0	0.0	340544	12:51:26
0.0	0.0	341755	12:51:27
0.0	0.0	343923	12:51:29
0.0	0.0	500519	12:54:06
0.0	0.0	502555	12:54:08
0.0	0.0	550138	12:54:56
0.0	0.0	581525	12:55:27
0.0	0.0	625336	12:56:11
0.0	0.0	631181	12:56:17
0.0	0.0	642026	12:56:28
0.0	0.0	658223	12:56:44
0.0	0.0	675035	12:57:01
0.0	0.0	684460	12:57:10
0.0	0.0	707904	12:57:33
0.0	0.0	726108	12:57:52
0.0	0.0	731650	12:57:57
0.0	0.0	742230	12:58:08
0.0	0.0	752297	12:58:18
0.0	0.0	760834	12:58:26
0.0	0.0	813921	12:59:19
0.0	0.0	823262	12:59:29
0.0	0.0	918463	13:01:04
0.0	0.0	926637	13:01:12
0.0	0.0	930012	13:01:16
0.0	0.0	935953	13:01:21
0.0	0.0	938910	13:01:24
