latitude	longitude	timestamp	realtime
0.0	0.0	17636	12:26:55
0.0	0.0	32179	12:27:10
0.0	0.0	60484	12:27:38
0.0	0.0	65369	12:27:43
0.0	0.0	68970	12:27:46
0.0	0.0	96594	12:28:14
0.0	0.0	99525	12:28:17
0.0	0.0	103824	12:28:21
0.0	0.0	105861	12:28:23
0.0	0.0	114056	12:28:32
0.0	0.0	119277	12:28:37
0.0	0.0	124638	12:28:42
0.0	0.0	130430	12:28:48
0.0	0.0	132378	12:28:50
0.0	0.0	140245	12:28:58
0.0	0.0	181057	12:29:39
0.0	0.0	185197	12:29:43
0.0	0.0	187619	12:29:45
0.0	0.0	207523	12:30:05
0.0	0.0	229848	12:30:27
0.0	0.0	271732	12:31:09
0.0	0.0	364006	12:32:42
0.0	0.0	414612	12:33:32
0.0	0.0	421613	12:33:39
0.0	0.0	427834	12:33:45
0.0	0.0	475049	12:34:33
