latitude	longitude	timestamp	realtime
-22.95294279121047	-43.177012246244686	22151	13:03:38
-22.95227314843793	-43.17609729196144	37708	13:03:53
-22.951763032201438	-43.175663843927666	47376	13:04:03
-22.95142357296299	-43.17544369220202	54010	13:04:10
