latitude	longitude	timestamp	realtime
0.0	0.0	29965	12:37:16
0.0	0.0	48032	12:37:35
0.0	0.0	72948	12:37:59
0.0	0.0	89825	12:38:16
0.0	0.0	117152	12:38:44
0.0	0.0	117764	12:38:44
0.0	0.0	142113	12:39:09
0.0	0.0	197596	12:40:04
0.0	0.0	206197	12:40:13
0.0	0.0	231386	12:40:38
0.0	0.0	271074	12:41:18
0.0	0.0	294563	12:41:41
0.0	0.0	300005	12:41:47
0.0	0.0	311468	12:41:58
0.0	0.0	325763	12:42:12
0.0	0.0	360622	12:42:47
0.0	0.0	363611	12:42:50
0.0	0.0	372409	12:42:59
0.0	0.0	377991	12:43:04
0.0	0.0	392218	12:43:19
0.0	0.0	396066	12:43:23
0.0	0.0	420062	12:43:47
0.0	0.0	437047	12:44:04
0.0	0.0	458958	12:44:25
0.0	0.0	469957	12:44:36
0.0	0.0	477855	12:44:44
0.0	0.0	482961	12:44:49
