latitude	longitude	timestamp	realtime
-22.8839729	-42.4673051	54758	12:10:05
-22.8748767	-42.4652403	132596	12:11:23
-22.8710906	-42.4636942	175131	12:12:06
-22.8679178	-42.463359	208037	12:12:39
