latitude	longitude	timestamp	realtime
-22.96301369851762	-43.181541905820644	47219	12:16:55
-22.96370110492164	-43.18090306706834	68453	12:17:16
-22.96422268163982	-43.1807510830607	82037	12:17:30
-22.96453641487364	-43.18110554631155	108893	12:17:56
-22.965115400828378	-43.18227705944088	192032	12:19:20
-22.96534677608944	-43.18275277887391	200485	12:19:28
-22.965597895482986	-43.18330873474015	206058	12:19:34
-22.965815397505953	-43.1837590785937	210939	12:19:38
-22.966300538852273	-43.18422979802975	217686	12:19:45
-22.96673726204781	-43.1850498173325	228529	12:19:56
-22.966913453135334	-43.18566655561199	240183	12:20:08
-22.96753280682835	-43.18703850785128	273469	12:20:41
-22.967748873680375	-43.1877531203502	337178	12:21:45
-22.967804371893763	-43.18783745029072	340256	12:21:48
-22.96721618631783	-43.188562774226526	388126	12:22:36
-22.966731246961935	-43.18894382573607	393828	12:22:41
-22.9674411	-43.1885215	396180	12:22:44
-22.966273611079846	-43.18932111994962	398769	12:22:46
-22.964675435459533	-43.19055271399926	418170	12:23:06
-22.964366849871418	-43.191279066865796	452130	12:23:40
-22.96440149636825	-43.19134049258043	453679	12:23:41
-22.96457780948149	-43.191506532501556	462051	12:23:50
-22.964716591827422	-43.1916710337926	468091	12:23:56
-22.965488041695895	-43.191669855890574	491035	12:24:19
