latitude	longitude	timestamp	realtime
-22.964633232266173	-43.19073193719459	436949	12:23:24
-22.964404065910564	-43.1911629871742	448250	12:23:36
-22.964534047844232	-43.191448634373046	458730	12:23:46
-22.96487623856028	-43.191885010478394	472983	12:24:00
-22.965810675077307	-43.191462919896075	497637	12:24:25
-22.966670741234232	-43.19087245563876	516483	12:24:44
-22.967134128440296	-43.190440354946126	531897	12:24:59
-22.96741927500022	-43.18987457213001	550701	12:25:18
-22.96754415457517	-43.18950685279514	561632	12:25:29
