accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	realtime
0.33519846	7.0176196	6.9577627	0.0	0.0	45	74	12:16:08
0.26337022	6.9936767	6.6680555	-22.92370972433375	-43.233280635344244	46	220	12:16:08
0.27294734	6.9745226	6.6848154	-22.92370972433375	-43.233280635344244	46	398	12:16:08
0.20590763	7.292961	6.7829804	-22.92370972433375	-43.233280635344244	47	577	12:16:08
0.19154198	7.434223	6.8236833	-22.92370972433375	-43.233280635344244	47	764	12:16:08
0.26097596	7.2977495	6.8284717	-22.92370972433375	-43.233280635344244	47	944	12:16:08
0.2657645	7.0319853	6.768615	-22.92370972433375	-43.233280635344244	46	1120	12:16:09
0.37590113	6.9912825	6.6249585	-22.92370972433375	-43.233280635344244	47	1303	12:16:09
0.37590113	6.9912825	6.6249585	-22.92370972433375	-43.233280635344244	47	1498	12:16:09
0.25858167	7.024802	6.7734036	-22.92370972433375	-43.233280635344244	46	1546	12:16:09
0.29689008	6.9481854	6.737489	-22.92370972433375	-43.233280635344244	46	1577	12:16:09
0.21787901	7.101419	6.7925577	-22.92370972433375	-43.233280635344244	46	1617	12:16:09
0.17957062	7.2809896	6.8428373	-22.92370972433375	-43.233280635344244	47	1659	12:16:09
0.21069619	7.4797144	6.8500204	-22.92370972433375	-43.233280635344244	48	1696	12:16:09
0.22027329	7.3169036	6.8428373	-22.92370972433375	-43.233280635344244	47	1738	12:16:09
0.17238778	7.228316	7.020014	-22.92370972433375	-43.233280635344244	46	1778	12:16:09
0.28970724	6.943397	6.7662206	-22.92370972433375	-43.233280635344244	46	1818	12:16:09
0.28731298	7.0104365	6.699181	-22.92370972433375	-43.233280635344244	46	1860	12:16:09
0.21309046	7.151699	6.742278	-22.92370972433375	-43.233280635344244	47	1899	12:16:09
0.14365649	7.398309	6.8165	-22.92370972433375	-43.233280635344244	47	1940	12:16:09
0.16281068	7.4461946	6.9218483	-22.92370972433375	-43.233280635344244	47	1977	12:16:09
0.28013015	7.2762012	6.8452315	-22.92370972433375	-43.233280635344244	47	2019	12:16:10
0.17957062	7.257047	6.7470665	-22.92370972433375	-43.233280635344244	47	2069	12:16:10
0.20351335	7.4988685	6.8955116	-22.92370972433375	-43.233280635344244	47	2120	12:16:10
0.29928434	7.225921	6.7231236	-22.92370972433375	-43.233280635344244	47	2160	12:16:10
0.25858167	7.039168	6.8883286	-22.92370972433375	-43.233280635344244	46	2195	12:16:10
0.31604427	6.93382	6.735095	-22.92370972433375	-43.233280635344244	46	2235	12:16:10
0.27055305	6.962551	6.7494607	-22.92370972433375	-43.233280635344244	46	2278	12:16:10
0.20351335	7.18043	6.778192	-22.92370972433375	-43.233280635344244	47	2317	12:16:10
0.117319465	7.398309	6.8500204	-22.92370972433375	-43.233280635344244	47	2366	12:16:10
0.3328042	6.943397	6.7207294	-22.92370972433375	-43.233280635344244	46	2416	12:16:10
0.22985038	7.1947956	6.804529	-22.92370972433375	-43.233280635344244	47	2459	12:16:10
0.12929083	7.405492	6.818895	-22.92370972433375	-43.233280635344244	47	2498	12:16:10
0.19633053	7.4414062	6.8619914	-22.92370972433375	-43.233280635344244	47	2539	12:16:10
0.2370332	7.269018	6.838049	-22.92370972433375	-43.233280635344244	47	2578	12:16:10
0.28013015	7.099025	6.859597	-22.92370972433375	-43.233280635344244	46	2618	12:16:10
0.24421602	6.9481854	6.7446723	-22.92370972433375	-43.233280635344244	46	2657	12:16:10
0.2944958	6.962551	6.6081986	-22.92370972433375	-43.233280635344244	47	2697	12:16:10
0.15323359	7.2091613	6.8452315	-22.92370972433375	-43.233280635344244	46	2738	12:16:10
0.17957062	7.3863378	6.8260775	-22.92370972433375	-43.233280635344244	47	2777	12:16:10
0.20111908	7.491686	6.893117	-22.92370972433375	-43.233280635344244	47	2821	12:16:10
0.25139886	7.2426815	6.771009	-22.92370972433375	-43.233280635344244	47	2856	12:16:10
0.25139886	7.022408	6.9098773	-22.92370972433375	-43.233280635344244	45	2896	12:16:10
0.3423813	6.9553685	6.751855	-22.92370972433375	-43.233280635344244	46	2940	12:16:10
0.2657645	6.9481854	6.7039695	-22.92370972433375	-43.233280635344244	46	2974	12:16:10
0.19393626	7.187613	6.768615	-22.92370972433375	-43.233280635344244	47	3019	12:16:11
0.15323359	7.474926	6.8476257	-22.92370972433375	-43.233280635344244	48	3072	12:16:11
0.28013015	6.9745226	6.7255177	-22.92370972433375	-43.233280635344244	46	3117	12:16:11
0.21548474	7.204373	6.821289	-22.92370972433375	-43.233280635344244	47	3156	12:16:11
0.098165266	7.4102807	6.8715687	-22.92370972433375	-43.233280635344244	47	3194	12:16:11
0.25139886	7.455772	6.7853746	-22.92370972433375	-43.233280635344244	48	3237	12:16:11
0.22985038	7.369578	6.8691745	-22.92370972433375	-43.233280635344244	47	3276	12:16:11
0.29928434	7.024802	6.840443	-22.92370972433375	-43.233280635344244	46	3317	12:16:11
0.28731298	6.9481854	6.775798	-22.92370972433375	-43.233280635344244	46	3367	12:16:11
0.25379312	7.336058	6.7925577	-22.92370972433375	-43.233280635344244	47	3418	12:16:11
0.2466103	7.099025	6.830866	-22.92370972433375	-43.233280635344244	46	3456	12:16:11
0.31365	6.926637	6.6704497	-22.92370972433375	-43.233280635344244	46	3499	12:16:11
0.2657645	7.0008597	6.718335	-22.92370972433375	-43.233280635344244	46	3539	12:16:11
0.18675344	7.1828246	6.8236833	-22.92370972433375	-43.233280635344244	46	3577	12:16:11
0.19154198	7.3192983	6.8165	-22.92370972433375	-43.233280635344244	47	3618	12:16:11
0.17717634	7.4821086	6.93382	-22.92370972433375	-43.233280635344244	47	3659	12:16:11
0.2083019	7.2977495	6.778192	-22.92370972433375	-43.233280635344244	47	3698	12:16:11
0.31604427	7.23071	6.167652	-22.92370972433375	-43.233280635344244	50	3738	12:16:11
-0.22985038	7.1540933	6.8356547	-22.92370972433375	-43.233280635344244	46	3778	12:16:11
0.30167863	7.120573	6.8452315	-22.92370972433375	-43.233280635344244	46	3820	12:16:11
0.21309046	6.8907228	7.0319853	-22.92370972433375	-43.233280635344244	44	3856	12:16:11
0.23463893	7.18043	6.689604	-22.92370972433375	-43.233280635344244	47	3897	12:16:11
0.11492519	7.405492	7.0367737	-22.92370972433375	-43.233280635344244	46	3938	12:16:11
0.20351335	7.56112	6.969734	-22.92370972433375	-43.233280635344244	47	3977	12:16:11
0.38068968	7.225921	6.768615	-22.92370972433375	-43.233280635344244	47	4018	12:16:12
0.11492519	7.1995845	7.0176196	-22.92370972433375	-43.233280635344244	46	4073	12:16:12
0.11253092	7.407886	6.986494	-22.92370972433375	-43.233280635344244	47	4118	12:16:12
