accelerometer_X;accelerometer_Y;accelerometer_Z;latitude;longitude;tilt;timestamp
0.33519846;7.0176196;6.9577627;0.0;0.0;45;74
0.26337022;6.9936767;6.6680555;-22.92370972433375;-43.233280635344244;46;220
0.27294734;6.9745226;6.6848154;-22.92370972433375;-43.233280635344244;46;398
0.20590763;7.292961;6.7829804;-22.92370972433375;-43.233280635344244;47;577
0.19154198;7.434223;6.8236833;-22.92370972433375;-43.233280635344244;47;764
0.26097596;7.2977495;6.8284717;-22.92370972433375;-43.233280635344244;47;944
0.2657645;7.0319853;6.768615;-22.92370972433375;-43.233280635344244;46;1120
0.37590113;6.9912825;6.6249585;-22.92370972433375;-43.233280635344244;47;1303
0.37590113;6.9912825;6.6249585;-22.92370972433375;-43.233280635344244;47;1498
0.25858167;7.024802;6.7734036;-22.92370972433375;-43.233280635344244;46;1546
0.29689008;6.9481854;6.737489;-22.92370972433375;-43.233280635344244;46;1577
0.21787901;7.101419;6.7925577;-22.92370972433375;-43.233280635344244;46;1617
0.17957062;7.2809896;6.8428373;-22.92370972433375;-43.233280635344244;47;1659
0.21069619;7.4797144;6.8500204;-22.92370972433375;-43.233280635344244;48;1696
0.22027329;7.3169036;6.8428373;-22.92370972433375;-43.233280635344244;47;1738
0.17238778;7.228316;7.020014;-22.92370972433375;-43.233280635344244;46;1778
0.28970724;6.943397;6.7662206;-22.92370972433375;-43.233280635344244;46;1818
0.28731298;7.0104365;6.699181;-22.92370972433375;-43.233280635344244;46;1860
0.21309046;7.151699;6.742278;-22.92370972433375;-43.233280635344244;47;1899
0.14365649;7.398309;6.8165;-22.92370972433375;-43.233280635344244;47;1940
0.16281068;7.4461946;6.9218483;-22.92370972433375;-43.233280635344244;47;1977
0.28013015;7.2762012;6.8452315;-22.92370972433375;-43.233280635344244;47;2019
0.17957062;7.257047;6.7470665;-22.92370972433375;-43.233280635344244;47;2069
0.20351335;7.4988685;6.8955116;-22.92370972433375;-43.233280635344244;47;2120
0.29928434;7.225921;6.7231236;-22.92370972433375;-43.233280635344244;47;2160
0.25858167;7.039168;6.8883286;-22.92370972433375;-43.233280635344244;46;2195
0.31604427;6.93382;6.735095;-22.92370972433375;-43.233280635344244;46;2235
0.27055305;6.962551;6.7494607;-22.92370972433375;-43.233280635344244;46;2278
0.20351335;7.18043;6.778192;-22.92370972433375;-43.233280635344244;47;2317
0.117319465;7.398309;6.8500204;-22.92370972433375;-43.233280635344244;47;2366
0.3328042;6.943397;6.7207294;-22.92370972433375;-43.233280635344244;46;2416
0.22985038;7.1947956;6.804529;-22.92370972433375;-43.233280635344244;47;2459
0.12929083;7.405492;6.818895;-22.92370972433375;-43.233280635344244;47;2498
0.19633053;7.4414062;6.8619914;-22.92370972433375;-43.233280635344244;47;2539
0.2370332;7.269018;6.838049;-22.92370972433375;-43.233280635344244;47;2578
0.28013015;7.099025;6.859597;-22.92370972433375;-43.233280635344244;46;2618
0.24421602;6.9481854;6.7446723;-22.92370972433375;-43.233280635344244;46;2657
0.2944958;6.962551;6.6081986;-22.92370972433375;-43.233280635344244;47;2697
0.15323359;7.2091613;6.8452315;-22.92370972433375;-43.233280635344244;46;2738
0.17957062;7.3863378;6.8260775;-22.92370972433375;-43.233280635344244;47;2777
0.20111908;7.491686;6.893117;-22.92370972433375;-43.233280635344244;47;2821
0.25139886;7.2426815;6.771009;-22.92370972433375;-43.233280635344244;47;2856
0.25139886;7.022408;6.9098773;-22.92370972433375;-43.233280635344244;45;2896
0.3423813;6.9553685;6.751855;-22.92370972433375;-43.233280635344244;46;2940
0.2657645;6.9481854;6.7039695;-22.92370972433375;-43.233280635344244;46;2974
0.19393626;7.187613;6.768615;-22.92370972433375;-43.233280635344244;47;3019
0.15323359;7.474926;6.8476257;-22.92370972433375;-43.233280635344244;48;3072
0.28013015;6.9745226;6.7255177;-22.92370972433375;-43.233280635344244;46;3117
0.21548474;7.204373;6.821289;-22.92370972433375;-43.233280635344244;47;3156
0.098165266;7.4102807;6.8715687;-22.92370972433375;-43.233280635344244;47;3194
0.25139886;7.455772;6.7853746;-22.92370972433375;-43.233280635344244;48;3237
0.22985038;7.369578;6.8691745;-22.92370972433375;-43.233280635344244;47;3276
0.29928434;7.024802;6.840443;-22.92370972433375;-43.233280635344244;46;3317
0.28731298;6.9481854;6.775798;-22.92370972433375;-43.233280635344244;46;3367
0.25379312;7.336058;6.7925577;-22.92370972433375;-43.233280635344244;47;3418
0.2466103;7.099025;6.830866;-22.92370972433375;-43.233280635344244;46;3456
0.31365;6.926637;6.6704497;-22.92370972433375;-43.233280635344244;46;3499
0.2657645;7.0008597;6.718335;-22.92370972433375;-43.233280635344244;46;3539
0.18675344;7.1828246;6.8236833;-22.92370972433375;-43.233280635344244;46;3577
0.19154198;7.3192983;6.8165;-22.92370972433375;-43.233280635344244;47;3618
0.17717634;7.4821086;6.93382;-22.92370972433375;-43.233280635344244;47;3659
0.2083019;7.2977495;6.778192;-22.92370972433375;-43.233280635344244;47;3698
0.31604427;7.23071;6.167652;-22.92370972433375;-43.233280635344244;50;3738
-0.22985038;7.1540933;6.8356547;-22.92370972433375;-43.233280635344244;46;3778
0.30167863;7.120573;6.8452315;-22.92370972433375;-43.233280635344244;46;3820
0.21309046;6.8907228;7.0319853;-22.92370972433375;-43.233280635344244;44;3856
0.23463893;7.18043;6.689604;-22.92370972433375;-43.233280635344244;47;3897
0.11492519;7.405492;7.0367737;-22.92370972433375;-43.233280635344244;46;3938
0.20351335;7.56112;6.969734;-22.92370972433375;-43.233280635344244;47;3977
0.38068968;7.225921;6.768615;-22.92370972433375;-43.233280635344244;47;4018
0.11492519;7.1995845;7.0176196;-22.92370972433375;-43.233280635344244;46;4073
0.11253092;7.407886;6.986494;-22.92370972433375;-43.233280635344244;47;4118
0.2083019;7.3839436;6.735095;-22.92370972433375;-43.233280635344244;48;4153
0.19633053;7.1493044;6.6584783;-22.92370972433375;-43.233280635344244;47;4195
0.30167863;6.9577627;6.6010156;-22.92370972433375;-43.233280635344244;47;4236
0.37590113;6.9888883;6.6584783;-22.92370972433375;-43.233280635344244;46;4278
0.3423813;7.0080423;6.7901635;-22.92370972433375;-43.233280635344244;46;4315
0.22985038;7.1229677;6.9290314;-22.92370972433375;-43.233280635344244;46;4359
0.15802214;7.350424;6.9840994;-22.92370972433375;-43.233280635344244;46;4397
0.11971374;7.4246464;6.8452315;-22.92370972433375;-43.233280635344244;47;4435
0.18675344;7.3145094;6.682421;-22.92370972433375;-43.233280635344244;48;4474
0.24421602;7.0726876;6.5818615;-22.92370972433375;-43.233280635344244;47;4514
0.39505535;6.9146657;6.543553;-22.92370972433375;-43.233280635344244;47;4555
0.40463245;6.881146;6.646507;-22.92370972433375;-43.233280635344244;46;4598
0.3040729;7.0607166;6.8428373;-22.92370972433375;-43.233280635344244;46;4636
0.08619389;7.415069;7.067899;-22.92370972433375;-43.233280635344244;46;4676
-0.083799616;7.570697;7.0535336;-22.92370972433375;-43.233280635344244;47;4717
-0.083799616;7.51084;6.897906;-22.92370972433375;-43.233280635344244;47;4757
0.052674048;7.328875;6.830866;-22.92370972433375;-43.233280635344244;47;4799
0.24421602;7.0343795;6.7662206;-22.92370972433375;-43.233280635344244;46;4834
0.45491222;6.893117;6.7279124;-22.92370972433375;-43.233280635344244;46;4878
0.55786604;6.938608;6.6608725;-22.92370972433375;-43.233280635344244;46;4919
0.3974496;7.187613;6.7734036;-22.92370972433375;-43.233280635344244;47;4955
0.18914771;7.2881727;6.8236833;-22.92370972433375;-43.233280635344244;47;4996
-0.08619389;7.4174633;6.976917;-22.92370972433375;-43.233280635344244;47;5038
0.12450229;7.041562;6.7805862;-22.92370972433375;-43.233280635344244;46;5090
-0.04070267;7.2450757;6.962551;-22.92370972433375;-43.233280635344244;46;5137
0.083799616;7.3169036;6.893117;-22.92370972433375;-43.233280635344244;47;5175
0.29210153;7.415069;6.864386;-22.92370972433375;-43.233280635344244;47;5214
0.43336374;7.1828246;6.6273527;-22.92370972433375;-43.233280635344244;47;5254
0.45012367;7.120573;6.771009;-22.92370972433375;-43.233280635344244;46;5296
0.29928434;7.190007;6.742278;-22.92370972433375;-43.233280635344244;47;5337
0.19633053;7.039168;6.5794673;-22.92370972433375;-43.233280635344244;47;5376
0.009577099;7.0798707;6.6967864;-22.92370972433375;-43.233280635344244;47;5415
-0.04070267;7.190007;6.8883286;-22.92370972433375;-43.233280635344244;46;5455
0.14126222;7.3863378;6.969734;-22.92370972433375;-43.233280635344244;47;5496
0.24900457;7.3576064;6.8524146;-22.92370972433375;-43.233280635344244;47;5537
0.2370332;7.225921;6.811712;-22.92370972433375;-43.233280635344244;47;5576
0.27055305;7.257047;6.838049;-22.92370972433375;-43.233280635344244;47;5615
0.45012367;7.0176196;6.5746784;-22.92370972433375;-43.233280635344244;47;5659
0.2466103;6.9553685;6.7566433;-22.92370972433375;-43.233280635344244;46;5698
0.21548474;7.075082;6.840443;-22.92370972433375;-43.233280635344244;46;5737
0.071828246;7.345635;6.960157;-22.92370972433375;-43.233280635344244;47;5777
0.07422252;7.439012;6.943397;-22.92370972433375;-43.233280635344244;47;5818
0.14126222;7.3743663;6.8476257;-22.92370972433375;-43.233280635344244;47;5857
0.16759923;7.005648;6.651295;-22.92370972433375;-43.233280635344244;46;5897
0.14365649;7.103813;6.754249;-22.92370972433375;-43.233280635344244;46;5937
0.36632404;6.9098773;6.58665;-22.92370972433375;-43.233280635344244;46;5975
0.41181526;7.048745;6.761432;-22.92370972433375;-43.233280635344244;46;6018
0.25858167;7.391126;6.9888883;-22.92370972433375;-43.233280635344244;47;6081
0.17957062;7.0271964;6.691998;-22.92370972433375;-43.233280635344244;46;6115
0.17717634;6.9673395;6.775798;-22.92370972433375;-43.233280635344244;46;6157
0.045491222;7.1924014;6.9840994;-22.92370972433375;-43.233280635344244;46;6193
0.06943397;7.391126;7.065505;-22.92370972433375;-43.233280635344244;46;6236
0.18196489;7.4198575;6.938608;-22.92370972433375;-43.233280635344244;47;6274
0.28013015;7.352818;6.7063637;-22.92370972433375;-43.233280635344244;48;6317
0.32562137;7.0176196;6.589044;-22.92370972433375;-43.233280635344244;47;6362
0.34477556;7.067899;6.6225643;-22.92370972433375;-43.233280635344244;47;6400
0.2944958;7.0798707;6.7638264;-22.92370972433375;-43.233280635344244;46;6438
0.24182175;7.048745;6.804529;-22.92370972433375;-43.233280635344244;46;6478
0.098165266;7.2881727;6.893117;-22.92370972433375;-43.233280635344244;47;6516
0.04070267;7.434223;7.0152254;-22.92370972433375;-43.233280635344244;47;6559
0.18196489;7.3384523;6.8260775;-22.92370972433375;-43.233280635344244;47;6598
0.2777359;7.170853;6.7829804;-22.92370972433375;-43.233280635344244;47;6640
0.27294734;7.0607166;6.675238;-22.92370972433375;-43.233280635344244;47;6678
0.3304099;6.9840994;6.65369;-22.92370972433375;-43.233280635344244;46;6718
0.27055305;7.0152254;6.7566433;-22.92370972433375;-43.233280635344244;46;6758
0.15802214;7.2522583;6.8955116;-22.92370972433375;-43.233280635344244;46;6798
0.19633053;7.398309;6.778192;-22.92370972433375;-43.233280635344244;48;6838
-0.17957062;7.4198575;7.2546525;-22.92370972433375;-43.233280635344244;46;6877
0.6273;7.21395;6.5794673;-22.92370972433375;-43.233280635344244;48;6916
0.63208854;7.039168;6.517216;-22.92370972433375;-43.233280635344244;47;6958
0.17957062;6.960157;6.8284717;-22.92370972433375;-43.233280635344244;46;6996
0.16041641;7.0343795;6.794952;-22.92370972433375;-43.233280635344244;46;7039
0.016759925;7.292961;6.8619914;-22.92370972433375;-43.233280635344244;47;7079
0.10774237;7.352818;6.768615;-22.92370972433375;-43.233280635344244;47;7115
0.11492519;7.336058;6.778192;-22.92370972433375;-43.233280635344244;47;7153
0.28970724;7.2618356;6.715941;-22.92370972433375;-43.233280635344244;47;7194
0.35435268;7.0798707;6.7015753;-22.92370972433375;-43.233280635344244;47;7236
0.30167863;7.063111;6.742278;-22.92370972433375;-43.233280635344244;46;7278
0.21548474;7.0295906;6.754249;-22.92370972433375;-43.233280635344244;46;7317
0.24421602;7.058322;6.759038;-22.92370972433375;-43.233280635344244;46;7361
0.11013664;7.3169036;6.8452315;-22.92370972433375;-43.233280635344244;47;7394
0.045491222;7.4007034;6.9481854;-22.92370972433375;-43.233280635344244;47;7437
0.18196489;7.3863378;6.881146;-22.92370972433375;-43.233280635344244;47;7476
0.2777359;7.211556;6.8356547;-22.92370972433375;-43.233280635344244;47;7519
0.25139886;7.084659;6.8069234;-22.92370972433375;-43.233280635344244;46;7557
0.29928434;7.005648;6.7303066;-22.92370972433375;-43.233280635344244;46;7594
0.36632404;7.020014;6.629747;-22.92370972433375;-43.233280635344244;47;7635
0.10774237;7.2091613;6.830866;-22.92370972433375;-43.233280635344244;47;7676
0.05506832;7.2881727;6.7805862;-22.92370972433375;-43.233280635344244;47;7716
0.11971374;7.405492;6.9314256;-22.92370972433375;-43.233280635344244;47;7757
0.102953814;7.3145094;6.936214;-22.92370972433375;-43.233280635344244;47;7797
0.22985038;7.142122;6.811712;-22.92370972433375;-43.233280635344244;46;7839
0.23463893;7.048745;6.6441126;-22.92370972433375;-43.233280635344244;47;7875
0.2753416;7.0343795;6.6584783;-22.92370972433375;-43.233280635344244;47;7918
0.21309046;6.976917;6.7566433;-22.92370972433375;-43.233280635344244;46;7957
0.24182175;7.1732473;6.859597;-22.92370972433375;-43.233280635344244;46;7995
0.12450229;7.455772;7.0128307;-22.92370972433375;-43.233280635344244;47;8038
0.31365;7.024802;6.6441126;-22.92370972433375;-43.233280635344244;47;8077
0.21548474;7.350424;6.8691745;-22.92370972433375;-43.233280635344244;47;8117
0.32083282;7.1109962;6.646507;-22.92370972433375;-43.233280635344244;47;8156
0.2370332;7.0295906;6.6800265;-22.92370972433375;-43.233280635344244;46;8194
