accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	datetime
0.1699935	6.1556807	8.379962	-22.8590513	-43.2310546	36	2133	2018-03-15T11:01:45.384Z
1.3072741	7.6090055	8.8085375	-22.8590513	-43.2310546	41	2172	2018-03-15T11:01:45.423Z
0.043096945	7.455772	6.3280683	-22.8590513	-43.2310546	50	2213	2018-03-15T11:01:45.464Z
0.6177229	7.728719	7.4653487	-22.8590513	-43.2310546	46	2253	2018-03-15T11:01:45.505Z
1.3168511	6.012024	6.0694866	-22.8590513	-43.2310546	45	2292	2018-03-15T11:01:45.543Z
-0.44054657	6.3376455	6.6249585	-22.8590513	-43.2310546	44	2332	2018-03-15T11:01:45.583Z
0.41420954	6.0886407	5.9904757	-22.8590513	-43.2310546	46	2373	2018-03-15T11:01:45.624Z
1.4700848	7.695199	9.268238	-22.8590513	-43.2310546	40	2413	2018-03-15T11:01:45.664Z
0.5865973	6.830866	7.877164	-22.8590513	-43.2310546	41	2456	2018-03-15T11:01:45.707Z
0.32562137	5.482889	5.691191	-22.8590513	-43.2310546	44	2492	2018-03-15T11:01:45.743Z
1.2450229	4.972909	6.632141	-22.8590513	-43.2310546	38	2531	2018-03-15T11:01:45.782Z
-0.51955765	5.403878	5.899493	-22.8590513	-43.2310546	43	2573	2018-03-15T11:01:45.824Z
-0.076616794	6.2969427	7.24747	-22.8590513	-43.2310546	41	2611	2018-03-15T11:01:45.862Z
0.66321415	7.379155	8.0926485	-22.8590513	-43.2310546	42	2652	2018-03-15T11:01:45.903Z
-0.13886794	5.8851275	9.25866	-22.8590513	-43.2310546	32	2692	2018-03-15T11:01:45.943Z
-0.14605077	5.913859	6.5555243	-22.8590513	-43.2310546	42	2731	2018-03-15T11:01:45.982Z
0.75180227	6.976917	9.380769	-22.8590513	-43.2310546	37	2773	2018-03-15T11:01:46.024Z
0.16041641	6.0527267	5.4900723	-22.8590513	-43.2310546	48	2813	2018-03-15T11:01:46.065Z
0.7206767	6.8021345	8.475733	-22.8590513	-43.2310546	39	2855	2018-03-15T11:01:46.106Z
-0.035914123	7.118179	7.7574506	-22.8590513	-43.2310546	43	2893	2018-03-15T11:01:46.144Z
0.6392714	6.771009	7.9968777	-22.8590513	-43.2310546	40	2933	2018-03-15T11:01:46.184Z
1.0534809	7.058322	6.7207294	-22.8590513	-43.2310546	47	2972	2018-03-15T11:01:46.223Z
-0.102953814	6.2251143	6.854809	-22.8590513	-43.2310546	42	3011	2018-03-15T11:01:46.262Z
0.35914123	7.290567	6.421445	-22.8590513	-43.2310546	49	3052	2018-03-15T11:01:46.303Z
0.74701375	6.3998966	8.320105	-22.8590513	-43.2310546	38	3092	2018-03-15T11:01:46.343Z
0.3519584	7.003254	8.93304	-22.8590513	-43.2310546	38	3132	2018-03-15T11:01:46.383Z
0.9217958	6.924243	7.800547	-22.8590513	-43.2310546	42	3174	2018-03-15T11:01:46.425Z
1.1396748	5.9832926	7.2953553	-22.8590513	-43.2310546	40	3211	2018-03-15T11:01:46.462Z
-0.21787901	6.404685	9.098245	-22.8590513	-43.2310546	35	3253	2018-03-15T11:01:46.504Z
0.9026416	6.9122715	6.754249	-22.8590513	-43.2310546	46	3293	2018-03-15T11:01:46.544Z
0.7685622	6.577073	7.597034	-22.8590513	-43.2310546	41	3333	2018-03-15T11:01:46.584Z
0.28731298	6.081458	7.4366174	-22.8590513	-43.2310546	39	3373	2018-03-15T11:01:46.624Z
0.7948992	7.0774765	6.141315	-22.8590513	-43.2310546	49	3413	2018-03-15T11:01:46.664Z
0.5027977	6.3567996	8.46855	-22.8590513	-43.2310546	37	3457	2018-03-15T11:01:46.708Z
0.39505535	6.902694	8.746285	-22.8590513	-43.2310546	38	3492	2018-03-15T11:01:46.743Z
0.71828246	5.375147	6.2921543	-22.8590513	-43.2310546	41	3533	2018-03-15T11:01:46.784Z
1.3479767	6.387925	7.039168	-22.8590513	-43.2310546	43	3574	2018-03-15T11:01:46.825Z
0.17478207	6.0838523	8.942616	-22.8590513	-43.2310546	34	3612	2018-03-15T11:01:46.864Z
1.0199611	5.741471	7.7670274	-22.8590513	-43.2310546	37	3656	2018-03-15T11:01:46.907Z
-0.409421	5.463735	8.243488	-22.8590513	-43.2310546	34	3694	2018-03-15T11:01:46.945Z
1.0415095	8.217151	6.8883286	-22.8590513	-43.2310546	50	3733	2018-03-15T11:01:46.984Z
0.36632404	7.5276	8.219545	-22.8590513	-43.2310546	43	3774	2018-03-15T11:01:47.025Z
-0.31843856	6.160469	6.3304625	-22.8590513	-43.2310546	44	3813	2018-03-15T11:01:47.065Z
1.1205206	7.2187386	8.171659	-22.8590513	-43.2310546	42	3854	2018-03-15T11:01:47.105Z
1.010384	7.328875	8.466156	-22.8590513	-43.2310546	41	3894	2018-03-15T11:01:47.145Z
0.16759923	5.7199225	8.43503	-22.8590513	-43.2310546	34	3935	2018-03-15T11:01:47.186Z
0.43096948	6.8476257	7.1109962	-22.8590513	-43.2310546	44	3972	2018-03-15T11:01:47.223Z
0.3328042	5.813299	8.413482	-22.8590513	-43.2310546	35	4014	2018-03-15T11:01:47.266Z
-0.50758624	5.1979704	7.151699	-22.8590513	-43.2310546	36	4053	2018-03-15T11:01:47.305Z
0.34477556	7.537177	9.059936	-22.8590513	-43.2310546	40	4092	2018-03-15T11:01:47.343Z
0.65842557	5.8851275	7.5587254	-22.8590513	-43.2310546	38	4133	2018-03-15T11:01:47.384Z
-0.07422252	4.8819265	6.114978	-22.8590513	-43.2310546	39	4214	2018-03-15T11:01:47.466Z
-0.3615355	6.1820173	8.195602	-22.8590513	-43.2310546	37	4254	2018-03-15T11:01:47.505Z
1.0271438	5.7606254	8.296163	-22.8590513	-43.2310546	35	4292	2018-03-15T11:01:47.544Z
0.87630457	6.794952	7.448589	-22.8590513	-43.2310546	43	4335	2018-03-15T11:01:47.586Z
0.5985687	5.705557	8.461368	-22.8590513	-43.2310546	34	4375	2018-03-15T11:01:47.626Z
0.021548472	5.4158497	7.987301	-22.8590513	-43.2310546	34	4413	2018-03-15T11:01:47.664Z
0.045491222	6.5196104	8.5331955	-22.8590513	-43.2310546	37	4453	2018-03-15T11:01:47.704Z
-0.3040729	6.4358106	8.1549	-22.8590513	-43.2310546	38	4494	2018-03-15T11:01:47.745Z
0.5123748	5.1692395	7.7933645	-22.8590513	-43.2310546	34	4533	2018-03-15T11:01:47.784Z
0.32801566	6.7039695	5.9904757	-22.8590513	-43.2310546	48	4614	2018-03-15T11:01:47.866Z
-0.028731298	6.8955116	6.88354	-22.8590513	-43.2310546	45	4655	2018-03-15T11:01:47.906Z
