accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	datetime
1.4174107	5.523592	7.3839436	-22.9236388	-43.233107	38	91	2018-03-15T10:27:11.907Z
-0.32562137	5.2410674	7.2546525	-22.9236388	-43.233107	36	209	2018-03-15T10:27:12.025Z
0.6153286	7.0295906	7.1660647	-22.9236388	-43.233107	45	389	2018-03-15T10:27:12.205Z
0.8284191	7.745479	7.755056	-22.9236388	-43.233107	45	576	2018-03-15T10:27:12.393Z
0.46927786	6.0599093	8.595447	-22.9236388	-43.233107	35	753	2018-03-15T10:27:12.570Z
0.1699935	5.5786605	6.9505796	-22.9236388	-43.233107	39	936	2018-03-15T10:27:12.752Z
0.44054657	7.8460383	8.152506	-22.9236388	-43.233107	44	1110	2018-03-15T10:27:12.926Z
1.1516461	5.5020437	8.2339115	-22.8589141	-43.2308922	34	1288	2018-03-15T10:27:13.104Z
1.0917894	5.9808984	6.3807425	-22.8589141	-43.2308922	44	1475	2018-03-15T10:27:13.292Z
0.102953814	8.051947	7.075082	-22.8589141	-43.2308922	49	1655	2018-03-15T10:27:13.471Z
-0.0670397	6.0670924	7.355212	-22.8589141	-43.2308922	40	1835	2018-03-15T10:27:13.651Z
0.9624985	7.501263	8.877971	-22.8589141	-43.2308922	40	2016	2018-03-15T10:27:13.832Z
1.0462981	7.1109962	6.6201696	-22.8589141	-43.2308922	47	2195	2018-03-15T10:27:14.012Z
0.019154198	6.7997403	6.715941	-22.8589141	-43.2308922	45	2380	2018-03-15T10:27:14.196Z
0.7637737	7.1133904	7.1947956	-22.8589141	-43.2308922	45	2554	2018-03-15T10:27:14.370Z
0.047885496	7.692805	7.3815494	-22.8589141	-43.2308922	46	2735	2018-03-15T10:27:14.551Z
0.27055305	6.811712	6.6153812	-22.8589141	-43.2308922	46	2911	2018-03-15T10:27:14.728Z
-0.6847626	5.3919067	8.571504	-22.8589141	-43.2308922	32	3091	2018-03-15T10:27:14.907Z
0.92658436	6.708758	6.3137026	-22.8589141	-43.2308922	47	3274	2018-03-15T10:27:15.091Z
-0.035914123	6.8452315	6.55313	-22.8589141	-43.2308922	46	3454	2018-03-15T10:27:15.271Z
1.297697	7.285778	6.3759537	-22.8589141	-43.2308922	49	3634	2018-03-15T10:27:15.451Z
0.41420954	7.0966306	8.605023	-22.8589141	-43.2308922	40	3810	2018-03-15T10:27:15.626Z
1.9752767	7.4964743	6.818895	-22.8589141	-43.2308922	49	3994	2018-03-15T10:27:15.811Z
-0.12450229	5.1859994	5.152479	-22.8589141	-43.2308922	45	4173	2018-03-15T10:27:15.990Z
-2.5810282	8.006455	4.9609375	-22.8589141	-43.2308922	59	4355	2018-03-15T10:27:16.171Z
-0.76137936	7.7526617	7.091842	-22.8589141	-43.2308922	48	4534	2018-03-15T10:27:16.350Z
0.18435916	5.355993	6.299337	-22.8589141	-43.2308922	40	4713	2018-03-15T10:27:16.529Z
-0.29689008	6.0527267	6.0886407	-22.8589141	-43.2308922	45	4893	2018-03-15T10:27:16.710Z
0.6344828	6.9840994	6.3208857	-22.8589141	-43.2308922	48	5081	2018-03-15T10:27:16.897Z
0.098165266	6.840443	6.6417184	-22.8589141	-43.2308922	46	5251	2018-03-15T10:27:17.067Z
0.43815228	6.447782	9.811738	-22.8589331	-43.23082	33	5429	2018-03-15T10:27:17.245Z
-0.6608198	6.818895	8.454185	-22.8589331	-43.23082	39	5613	2018-03-15T10:27:17.429Z
1.4868447	8.097438	7.084659	-22.8589331	-43.23082	49	5793	2018-03-15T10:27:17.610Z
0.4764607	8.396722	4.8148866	-22.8589331	-43.23082	60	5972	2018-03-15T10:27:17.789Z
0.81165916	7.9513865	7.9394155	-22.8589331	-43.23082	45	6154	2018-03-15T10:27:17.970Z
0.4644893	6.8500204	7.099025	-22.8589331	-43.23082	44	6329	2018-03-15T10:27:18.146Z
0.8978531	6.3975024	8.490098	-22.8589331	-43.23082	37	6514	2018-03-15T10:27:18.331Z
0.4189981	5.940196	8.236305	-22.8589331	-43.23082	36	6695	2018-03-15T10:27:18.511Z
1.5083932	6.93382	8.834874	-22.8589331	-43.23082	39	6874	2018-03-15T10:27:18.691Z
1.2665714	7.4222517	7.719142	-22.8589331	-43.23082	44	7055	2018-03-15T10:27:18.872Z
0.3902668	5.89231	7.257047	-22.8589331	-43.23082	39	7234	2018-03-15T10:27:19.050Z
0.65842557	5.5188036	7.719142	-22.8589331	-43.23082	36	7409	2018-03-15T10:27:19.225Z
0.09337672	6.8883286	7.434223	-22.8589331	-43.23082	43	7595	2018-03-15T10:27:19.412Z
-0.026337024	6.23948	6.481302	-22.8589331	-43.23082	44	7774	2018-03-15T10:27:19.590Z
0.4285752	7.106208	5.418244	-22.8589331	-43.23082	53	7952	2018-03-15T10:27:19.768Z
-0.43096948	5.523592	8.978531	-22.8589331	-43.23082	32	8131	2018-03-15T10:27:19.948Z
-0.56744313	6.2873654	5.5738716	-22.8589331	-43.23082	49	8314	2018-03-15T10:27:20.130Z
0.96489275	7.2546525	7.580274	-22.8589331	-43.23082	44	8492	2018-03-15T10:27:20.309Z
-0.86193895	5.0567083	7.3576064	-22.8589331	-43.23082	35	8674	2018-03-15T10:27:20.491Z
0.7302538	7.039168	7.4845033	-22.8589331	-43.23082	43	8852	2018-03-15T10:27:20.668Z
-0.5363176	9.538791	4.640105	-22.8589331	-43.23082	64	9214	2018-03-15T10:27:21.030Z
-0.91461295	7.721536	9.900327	-22.8589331	-43.23082	38	9393	2018-03-15T10:27:21.210Z
0.035914123	5.978504	8.973742	-22.8589331	-43.23082	34	9574	2018-03-15T10:27:21.390Z
0.6201172	7.8891354	7.9920893	-22.8589331	-43.23082	45	9754	2018-03-15T10:27:21.570Z
0.026337024	5.8061166	8.8324795	-22.8589331	-43.23082	33	9933	2018-03-15T10:27:21.749Z
-0.64166564	4.5347567	6.8356547	-22.8589331	-43.23082	34	10111	2018-03-15T10:27:21.927Z
0.13647367	5.7821736	8.241094	-22.8589331	-43.23082	35	10290	2018-03-15T10:27:22.106Z
0.5698374	4.8986864	7.326481	-22.8589331	-43.23082	34	10654	2018-03-15T10:27:22.470Z
0.5770202	6.22272	6.8715687	-22.8589331	-43.23082	42	11193	2018-03-15T10:27:23.009Z
1.0271438	5.583449	8.011244	-22.8589331	-43.23082	35	11372	2018-03-15T10:27:23.188Z
-0.052674048	5.4757066	7.860404	-22.858873	-43.2304118	35	11547	2018-03-15T10:27:23.363Z
0.46927786	9.538791	7.85801	-22.858873	-43.2304118	51	11732	2018-03-15T10:27:23.549Z
0.38068968	5.794145	5.305713	-22.858873	-43.2304118	48	11913	2018-03-15T10:27:23.729Z
-0.4860378	5.9641385	6.158075	-22.858873	-43.2304118	44	12088	2018-03-15T10:27:23.904Z
