accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	datetime
0.12929083	7.21395	7.3839436	-22.8589766	-43.23083	44	2180	2018-03-15T11:13:53.646Z
0.090982445	6.6872096	7.4797144	-22.8589766	-43.23083	42	2221	2018-03-15T11:13:53.687Z
0.30886146	7.336058	7.0870533	-22.8589766	-43.23083	46	2257	2018-03-15T11:13:53.723Z
0.32801566	6.675238	6.378348	-22.8589766	-43.23083	46	2298	2018-03-15T11:13:53.764Z
0.60335726	7.4438004	7.8173075	-22.8589766	-43.23083	44	2339	2018-03-15T11:13:53.806Z
0.5865973	6.0239954	6.596227	-22.8589766	-43.23083	43	2379	2018-03-15T11:13:53.845Z
0.28013015	6.4789076	6.7446723	-22.8589766	-43.23083	44	2419	2018-03-15T11:13:53.886Z
0.4668836	7.0271964	7.067899	-22.8589766	-43.23083	45	2458	2018-03-15T11:13:53.924Z
0.43575802	6.3998966	6.9290314	-22.8589766	-43.23083	43	2494	2018-03-15T11:13:53.960Z
0.21069619	5.317684	7.1828246	-22.8589766	-43.23083	37	2537	2018-03-15T11:13:54.003Z
0.5818088	5.7366824	6.9840994	-22.8589766	-43.23083	40	2579	2018-03-15T11:13:54.045Z
0.42378664	7.067899	7.4821086	-22.8589766	-43.23083	43	2620	2018-03-15T11:13:54.086Z
-0.24900457	7.2953553	8.28898	-22.8589766	-43.23083	41	2658	2018-03-15T11:13:54.124Z
0.5961744	4.862772	6.672844	-22.8589766	-43.23083	36	2700	2018-03-15T11:13:54.166Z
-0.14126222	6.7039695	8.332076	-22.8589766	-43.23083	39	2738	2018-03-15T11:13:54.205Z
0.22506183	7.5467544	7.084659	-22.8589766	-43.23083	47	2780	2018-03-15T11:13:54.247Z
0.82602483	6.976917	5.889916	-22.8589766	-43.23083	50	2822	2018-03-15T11:13:54.289Z
0.6081458	6.8452315	6.751855	-22.8589766	-43.23083	46	2860	2018-03-15T11:13:54.326Z
0.46927786	6.141315	6.952974	-22.8589766	-43.23083	42	2900	2018-03-15T11:13:54.366Z
0.19154198	7.5754857	7.8340673	-22.8589766	-43.23083	44	2939	2018-03-15T11:13:54.405Z
1.0486923	7.328875	6.438205	-22.8589766	-43.23083	49	2980	2018-03-15T11:13:54.447Z
1.0726352	6.8452315	7.5898514	-22.8589766	-43.23083	42	3020	2018-03-15T11:13:54.486Z
0.90982443	6.4932733	7.415069	-22.8589766	-43.23083	41	3064	2018-03-15T11:13:54.530Z
-0.05985687	6.378348	7.283384	-22.8589766	-43.23083	41	3099	2018-03-15T11:13:54.566Z
0.5818088	6.986494	7.204373	-22.8589766	-43.23083	44	3138	2018-03-15T11:13:54.604Z
0.7110996	6.3927135	7.1732473	-22.8589766	-43.23083	42	3180	2018-03-15T11:13:54.646Z
0.03351985	6.179623	6.629747	-22.8589766	-43.23083	43	3220	2018-03-15T11:13:54.686Z
0.23463893	6.4789076	8.166871	-22.8589766	-43.23083	38	3258	2018-03-15T11:13:54.724Z
0.18435916	6.055121	7.1947956	-22.8589766	-43.23083	40	3299	2018-03-15T11:13:54.765Z
-0.22266756	5.913859	8.08786	-22.8589766	-43.23083	36	3339	2018-03-15T11:13:54.805Z
-0.14365649	6.9577627	8.549955	-22.8589766	-43.23083	39	3380	2018-03-15T11:13:54.846Z
-0.08858817	5.2650104	7.240287	-22.8589766	-43.23083	36	3420	2018-03-15T11:13:54.886Z
0.12689656	6.732701	9.052753	-22.8589766	-43.23083	37	3459	2018-03-15T11:13:54.925Z
0.04070267	6.3208857	7.4030976	-22.8589766	-43.23083	40	3501	2018-03-15T11:13:54.967Z
0.016759925	6.7135468	7.699988	-22.8589766	-43.23083	41	3540	2018-03-15T11:13:55.006Z
0.70870537	5.9880815	6.9673395	-22.8589766	-43.23083	41	3580	2018-03-15T11:13:55.046Z
1.0175668	5.9114647	7.6736507	-22.8589766	-43.23083	38	3620	2018-03-15T11:13:55.086Z
0.49800915	7.0008597	6.1915946	-22.8589766	-43.23083	49	3662	2018-03-15T11:13:55.128Z
0.68715686	7.0008597	7.3863378	-22.8589766	-43.23083	44	3701	2018-03-15T11:13:55.167Z
0.74701375	6.2155375	6.7638264	-22.8589766	-43.23083	43	3739	2018-03-15T11:13:55.205Z
-0.61293435	6.567496	7.1780357	-22.8589766	-43.23083	43	3781	2018-03-15T11:13:55.247Z
0.43336374	6.282577	6.821289	-22.8589766	-43.23083	43	3820	2018-03-15T11:13:55.286Z
0.6368771	6.2706056	7.7239304	-22.8589766	-43.23083	39	3861	2018-03-15T11:13:55.327Z
0.05985687	6.428628	6.9122715	-22.8589766	-43.23083	43	3901	2018-03-15T11:13:55.367Z
-0.13647367	6.5459476	7.6281595	-22.8589766	-43.23083	41	3940	2018-03-15T11:13:55.406Z
0.35914123	6.301731	6.8955116	-22.8589766	-43.23083	42	3981	2018-03-15T11:13:55.447Z
0.43336374	5.420638	7.84125	-22.8589766	-43.23083	35	4020	2018-03-15T11:13:55.486Z
0.4860378	6.1269493	8.169266	-22.8589766	-43.23083	37	4062	2018-03-15T11:13:55.528Z
-0.026337024	6.167652	8.181237	-22.8589766	-43.23083	37	4100	2018-03-15T11:13:55.566Z
-0.05985687	7.2977495	7.0128307	-22.8589766	-43.23083	46	4141	2018-03-15T11:13:55.607Z
0.11971374	6.6153812	6.246663	-22.8589766	-43.23083	47	4181	2018-03-15T11:13:55.647Z
0.35674694	5.770202	7.0343795	-22.8589766	-43.23083	39	4220	2018-03-15T11:13:55.686Z
0.16281068	7.5826683	7.233104	-22.8589766	-43.23083	46	4260	2018-03-15T11:13:55.726Z
0.3328042	7.0367737	5.751048	-22.8589766	-43.23083	51	4299	2018-03-15T11:13:55.765Z
0.4836435	6.5603127	5.748654	-22.8589766	-43.23083	49	4340	2018-03-15T11:13:55.806Z
-0.20351335	7.3743663	6.7303066	-22.8589766	-43.23083	48	4380	2018-03-15T11:13:55.846Z
0.0023942748	7.9944835	8.535589	-22.8589766	-43.23083	43	4421	2018-03-15T11:13:55.888Z
0.05027977	7.151699	6.3400397	-22.8589766	-43.23083	48	4460	2018-03-15T11:13:55.926Z
0.36871833	7.23071	5.2410674	-22.8589766	-43.23083	54	4499	2018-03-15T11:13:55.966Z
0.0023942748	6.7829804	6.797346	-22.8589766	-43.23083	45	4540	2018-03-15T11:13:56.006Z
0.30167863	7.9777236	7.0870533	-22.8589766	-43.23083	48	4578	2018-03-15T11:13:56.044Z
0.42618093	7.5036573	6.117372	-22.8589766	-43.23083	51	4619	2018-03-15T11:13:56.086Z
0.75180227	6.2586346	6.1461034	-22.8589766	-43.23083	46	4660	2018-03-15T11:13:56.126Z
-0.057462595	6.8284717	7.429435	-22.8589766	-43.23083	43	4698	2018-03-15T11:13:56.164Z
-0.031125572	7.187613	6.2514515	-22.8589766	-43.23083	49	4740	2018-03-15T11:13:56.206Z
0.35674694	6.526793	5.6241517	-22.8589766	-43.23083	49	4780	2018-03-15T11:13:56.246Z
0.36871833	7.1397276	6.9505796	-22.8589766	-43.23083	46	4820	2018-03-15T11:13:56.286Z
0.6177229	7.5084457	6.943397	-22.8589766	-43.23083	47	4860	2018-03-15T11:13:56.326Z
0.5411061	8.0375805	5.154874	-22.8589766	-43.23083	57	4899	2018-03-15T11:13:56.365Z
0.17957062	7.187613	6.7805862	-22.8589766	-43.23083	47	4939	2018-03-15T11:13:56.405Z
0.038308397	6.60341	7.9968777	-22.8589766	-43.23083	40	4979	2018-03-15T11:13:56.445Z
0.45970076	7.108602	7.9154725	-22.8589766	-43.23083	42	5020	2018-03-15T11:13:56.486Z
0.045491222	6.438205	6.5794673	-22.8589766	-43.23083	44	5060	2018-03-15T11:13:56.526Z
0.5913859	6.021601	6.352011	-22.8589766	-43.23083	44	5099	2018-03-15T11:13:56.565Z
0.37350687	8.032792	8.28898	-22.8589766	-43.23083	44	5140	2018-03-15T11:13:56.607Z
0.9720756	7.537177	6.794952	-22.8589766	-43.23083	48	5180	2018-03-15T11:13:56.646Z
0.8140534	7.678439	6.6680555	-22.8589766	-43.23083	49	5221	2018-03-15T11:13:56.688Z
0.94095	6.5196104	5.4062724	-22.8589766	-43.23083	51	5260	2018-03-15T11:13:56.726Z
1.0295382	6.263423	7.355212	-22.8589766	-43.23083	41	5298	2018-03-15T11:13:56.765Z
-0.16520496	6.9745226	8.413482	-22.8589766	-43.23083	40	5346	2018-03-15T11:13:56.813Z
-0.22506183	7.963358	7.24747	-22.8589766	-43.23083	48	5377	2018-03-15T11:13:56.843Z
