latitude	longitude	timestamp	datetime
-22.8604464	-43.2277424	43778	2018-03-15T10:27:55.512Z
-22.8610575	-43.2274324	63560	2018-03-15T10:28:15.357Z
-22.861867	-43.2244077	100053	2018-03-15T10:28:51.854Z
-22.860794	-43.2211876	179154	2018-03-15T10:30:10.952Z
-22.8592775	-43.2291059	256155	2018-03-15T10:31:27.957Z
-22.8544817	-43.2309491	290072	2018-03-15T10:32:01.871Z
